INSERT INTO hallgato VALUES ('U5H81I', 'Rhett', 'Jad', 'D6D5D2OP', '+36206503247', 'Jad2a5f@gmail.com', '662ac2966625b15c9f0c756d36b4b86a94147fde166cc943c3d7b352b7e6e909', TO_DATE('1970-03-05', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('LJC0UM', 'Hank', 'Carl', 'L5SC01AV', '+36701536102', 'Carldx1y@gmail.com', 'dc953bc5e6b47b68f0e971c887f7284d1c93357e37e89e8e1ab3ca1127daa0ac', TO_DATE('1986-02-03', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('N7E2YD', 'Arthur', 'Kaden', 'Y8Z2I5W4', '+36703502933', 'Kaden6MPa@gmail.com', '284fb690e21f3be3f289adccd02ef23737f388253809669331931e7f1810b969', TO_DATE('1983-06-17', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('YA4GE5', 'Chance', 'Samuel', 'TWCWI5X9', '+36706642706', 'SamuelHsmd@gmail.com', 'b1f6d1241c57d145f1eabc2377ff03bf003ee722bdf2d27f7c530f52f588baf2', TO_DATE('1981-09-20', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('CI3GKZ', 'Hugo', 'Paxton', 'JXPX3X9P', '+36208995596', 'Paxton5yt8@gmail.com', '5a53faa01829ec5665ba07228e6c3224d9a9504c5297647909183bac8d4ee32d', TO_DATE('1967-10-08', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('LRVX5A', 'Saint', 'Vincent', 'IPUYAPZ9', '+36709560793', 'Vincentgbq2@gmail.com', 'f44c4b0766fc9f085ee869651e9e435f80588520e3db0f08a2112891d29dc5ab', TO_DATE('1992-01-08', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('97WM1H', 'Landen', 'Francis', 'YYT43V2T', '+36303314468', 'Francisa1ba@gmail.com', 'e2aae930fa0a8851c8a7b5b4eada368dc1c21ec10195133ce4cdcf950928d697', TO_DATE('2000-11-09', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('QZ5V2K', 'Kayson', 'Kylen', '0VQDBUEM', '+36200718579', 'KylenoN9K@gmail.com', 'b0ab600d8a623c6594fa3ef88605612811fb8fa7dcc3922f8ff8273cae3bc9fd', TO_DATE('1995-04-11', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('4DHBFB', 'Callahan', 'Hayden', 'Z2J8SDSQ', '+36307395933', 'HaydenSUj1@gmail.com', 'd5a6a01462b3e5081890e05fce44a93e9191b1bb3282e68880ff04e90a856c70', TO_DATE('1992-02-28', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('Q870BC', 'Oscar', 'Eduardo', '95K0OA3X', '+36707895701', 'EduardoJKPc@gmail.com', '39981b0880b1956bfccbba9260bb848ccd28ed2651e11553c53489847a252ba4', TO_DATE('1968-10-27', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('8MOHQS', 'Jax', 'Ronan', '75IOXSJU', '+36704226252', 'RonanqH5N@gmail.com', '39440c8a4bd10c494a33d2fc97dbfe320f1d0dc33d97035688de07be1378f4a8', TO_DATE('1997-07-21', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('5OUEGV', 'Zayn', 'Alan', 'KZ9QNT8S', '+36701312427', 'AlanU6nb@gmail.com', '0059bfc57922c1708b63e31c04589f4b33155c5b24327bcb5b7b25859c84e399', TO_DATE('2001-06-06', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('7YVARJ', 'Everett', 'Eric', 'SDJKQ6AF', '+36206240541', 'EriceKUa@gmail.com', '4cb39c1bdf5da40bb629d3fb041a2af0c9d388370c9e5ea5369f01aa23b02589', TO_DATE('1963-02-17', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('SN3G9Y', 'Giovanni', 'Elijah', 'I1NNUJ65', '+36201354737', 'ElijahLlVZ@gmail.com', '39fdd90473172fb13a47c05651e430778ec3de65b0c73def12fd736c011f480e', TO_DATE('1992-02-14', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('4WOKJI', 'Krew', 'Gustavo', 'HJSFMID5', '+36206384866', 'GustavoqW5l@gmail.com', 'ec29b76d468efbf702e33789d4bb8aa87239bd8615cbbaa1298f7763b7340f7d', TO_DATE('1962-08-01', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('SYRHES', 'Erick', 'Ben', 'L1BR8CBO', '+36308040514', 'BenJPal@gmail.com', '030d756286e59f22a464c36e1fbff606a795dfc70aaf0108bd86f2aa193d05f4', TO_DATE('1987-11-12', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('QFBR1R', 'Jaxx', 'Billy', 'GY0KAFPG', '+36209627025', 'BillyEopH@gmail.com', '85eea4a0285dcb11cceb68f39df10d1aa132567dec49b980345142f09f4cb05e', TO_DATE('1990-12-03', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('TX228X', 'Maximiliano', 'Kaison', 'HWLAKFB8', '+36306905556', 'Kaison5wR8@gmail.com', '7b35eae64e17cc70e79cee760b7c9cb2f959db0e56c8ea8c34ea850d78bd554c', TO_DATE('1997-12-01', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('923IL0', 'Weston', 'Rex', '4SPAP5IS', '+36706506561', 'RexlUnY@gmail.com', '80f1e148f14f3b82aaec65244d7685c1096a8174d748fdc497ecd28ad41ee0b0', TO_DATE('1981-12-19', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('2USW7I', 'Luke', 'Jaxon', 'T3XJ76FW', '+36709092658', 'Jaxonj3Cx@gmail.com', '2635dbd75f931dde58262128a703fc5277030838fc24577109ea4b0d963e4879', TO_DATE('1971-09-28', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('RB505A', 'Kannon', 'Jace', 'UX413E9Y', '+36707499209', 'JaceEkfW@gmail.com', '90be8ac8e3d26dc80adfb57b9841f9bf083533da10d5b5446dd4e1533e441d3b', TO_DATE('1982-08-24', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('ZBGIKV', 'Jamal', 'Karter', 'SXASADH1', '+36301415439', 'KarterCPiv@gmail.com', '75b555028040113b46c2d985cb4dee24c6fbeebb95cf24b285ccdc47e06ccaad', TO_DATE('1979-11-09', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('IJS6PP', 'Kalel', 'Mayson', 'GCFB1P5N', '+36306071122', 'MaysonFrxk@gmail.com', '6d482aa3e1c787ff6e6f1f89e40f4d97366ff2bd195353b5cfbb66c6d3343b94', TO_DATE('1974-08-26', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('RDTBSK', 'Jayson', 'Wesley', 'TBJXG5OP', '+36206904423', 'WesleyyPp4@gmail.com', '38d8aae324dd80ef92d696c529051599315fd7494ba863d0f42c7e457425c2fd', TO_DATE('1967-04-26', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('JPRUC2', 'Kenzo', 'Charlie', 'ONA363M0', '+36709409684', 'CharliegUkw@gmail.com', '6e81b1255ad51bb201a2b8afa9b66653297ae0217f833b14b39b5231228bf968', TO_DATE('1999-09-15', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('GRBJJE', 'Zane', 'Legacy', 'USGBMB2K', '+36704477755', 'LegacySfHO@gmail.com', '1432897a6136de54f3a8bfcc9f9fa87ead45c109731e5769a6e94887d555ce5b', TO_DATE('1978-05-23', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('P6562O', 'Asa', 'Jaxx', 'WSXU7YI5', '+36303099706', 'Jaxx8nEz@gmail.com', '84a14874a392f2aac2e4e004426ec385a947c8bbbbf5b62af71e5b09f16ce107', TO_DATE('1962-09-15', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('SQEG30', 'Remington', 'Landen', 'ROVTYME1', '+36202919104', 'LandenBtqy@gmail.com', '30255d80d70e8f11250d2b59ed039227461778adcc06c661bf040780e391abfd', TO_DATE('1981-05-28', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('UFZ8UR', 'Branson', 'Khari', 'MBQ4MLU2', '+36205852776', 'KhariNY3L@gmail.com', 'e5a82f2e50531b313e1d285c93d189bf50ef9d9870bb0fc5e0e228a3d79bc0d9', TO_DATE('1983-12-20', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('SB1PX7', 'Juelz', 'Clark', '7FTFQ4L4', '+36209173680', 'ClarkOy66@gmail.com', 'baa4941d577137bd09abfca4f9d82e2d8f43ac76cc9a53ac58006f5341ee541d', TO_DATE('1976-02-22', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('7LD07S', 'Creed', 'Matias', 'ZA4RI6OT', '+36206424754', 'Matias2ooE@gmail.com', 'af11205043f66fa4770fbf9b03dd861a90c6a2ae049d7b8b759fa5e78d20e3ff', TO_DATE('1965-02-04', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('EGL2JA', 'Jalen', 'Riley', 'XAV54IZF', '+36209874099', 'RileyeJdq@gmail.com', 'c773f5fb4bf41c6544658d9974bd1232e0d2e096d355ad4c2e249987c0b7291d', TO_DATE('1960-12-04', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('LU0GDY', 'Angel', 'Walker', 'TRC558E1', '+36701043695', 'WalkeruMC2@gmail.com', 'f4034e7eb42b1a87bcfddd40dd0aa64c251bb4d5f2c8b0679f0988cffb2d4e54', TO_DATE('1976-04-21', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('BNGGVU', 'Alvin', 'Idris', '40KLLXCJ', '+36208499003', 'IdrisqwDg@gmail.com', '311aaae3685881643e994c2a29cfffab3f86df63b0a8e6ecec0745070625bb3b', TO_DATE('1972-10-16', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('CHBRT5', 'Remington', 'Dawson', '7VF3G44U', '+36309070894', 'DawsonIorK@gmail.com', '0ee9bb168930ebfa8abc989cfa84a73a6cd23006b42fd8c425354a2a84bc6527', TO_DATE('1992-03-10', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('PVLXXR', 'Brycen', 'Sutton', 'KLJF5G3F', '+36706648071', 'Sutton1dTW@gmail.com', '034cb416158b18b92afb0cdb2f776b63f9b97469eab7978fd4e121a766766804', TO_DATE('1991-11-10', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('192XB8', 'Enoch', 'Maximilian', 'X91063O5', '+36201622564', 'MaximilianZVuW@gmail.com', 'b2ae39aec07d68fbb40cc2e188c3f4c596fcf2f92d2371e5d8e0944403fe9ab5', TO_DATE('1988-04-14', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('5LZ0WJ', 'Frank', 'Jase', 'B5SR01I4', '+36703972668', 'JaseTDZV@gmail.com', '3ecbefb68695e56a0f1c439823f6089ad78f57ee81a55ff2cdb4aca3a2f32925', TO_DATE('1998-11-02', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('Y0ONSD', 'Grayson', 'Malcolm', 'LJI0WUH8', '+36706084292', 'MalcolmLkzv@gmail.com', '0a5e7f1bd69fc848935eb9ad9a8965efa61f13b7f2ac05f9ca98689fccb5f38f', TO_DATE('1999-07-26', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('XN4HYB', 'Weston', 'Jose', 'Y9ZBY4D5', '+36702838213', 'Josebj2b@gmail.com', 'ae978aa10c628b27427ff2615ad925abdf4171fc7b4d1f7067bd35b23960d371', TO_DATE('1994-07-22', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('G6AAZ0', 'Brixton', 'Reece', 'Y1ES06H7', '+36702944587', 'Reeceji6D@gmail.com', 'a4711d8fd2253f6ac84887db51f0b4c317a31fc4da20892ddcd8fc6563a6cb3d', TO_DATE('1960-04-14', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('IQV2S5', 'Fletcher', 'Emery', 'WM3LY7I0', '+36307366547', 'EmeryFriD@gmail.com', 'a337f882bb914cecf772439a0c118d3e50893b76bddd02f13d0b9fe3c6ec446c', TO_DATE('1985-12-31', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('1UPYJF', 'William', 'Case', '6JFT0HQB', '+36709867266', 'CasedfrE@gmail.com', '15f86e24ed25aed154934fb1f3275d9b33e1ebaa64350694ed8661a7d6fc0f21', TO_DATE('1981-06-18', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('4WD788', 'Armando', 'Thaddeus', 'KPS5I7P5', '+36309124409', 'ThaddeusRV6b@gmail.com', '0b259927bce6b865083f3c9d3922e44ec519e1fa644f589bafe5af09befb123c', TO_DATE('1960-09-20', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('4EWRET', 'Yosef', 'Larry', 'NY731877', '+36705600067', 'LarryRYDI@gmail.com', '1bfdd0bd0feb1735b44d25956114d3e6d9219b7a3c98a8d5d9bfc09f1a993ffe', TO_DATE('1978-06-15', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('0U92UD', 'Alexzander', 'Randy', 'ECX5X3JS', '+36209185118', 'RandyfJQR@gmail.com', 'b1078e95ba84644948d598aef9a8627d4f83369a9715f1226b18ab201369469f', TO_DATE('1969-11-24', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('JZKTVX', 'Jad', 'Roland', 'L3T1LNA1', '+36707010348', 'RolandmJoC@gmail.com', 'a1ef7bf9b9098c49c8aa4e6e8b42b199762a55f85ec6ad215a76045088276fcc', TO_DATE('1975-12-10', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('0EEZKE', 'Andrew', 'Gerald', 'E95XBEJE', '+36700970544', 'Geraldwf5x@gmail.com', '69048f338080e2fe79eb2d2643152da0102f0ef19da2c63b44e7b561e565a192', TO_DATE('1996-07-20', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('JWL8QY', 'Fox', 'Fernando', 'RTLUH0CV', '+36307588865', 'Fernando39ko@gmail.com', '75b51718f6c2e874a5747ac4b9f2d456fa87bb25ee76d8aabe60089aa228aff5', TO_DATE('1966-09-27', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('XCO5OL', 'Caleb', 'Miller', 'F1TWUHJ6', '+36200823635', 'MillercEL8@gmail.com', '716545ea5827317b597b9f531b753bb931989bbe63df4307ef312fdb7374a154', TO_DATE('1970-11-14', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('IBJ5S6', 'Justice', 'Pedro', 'JYX6LUMP', '+36708642722', 'PedroPGgI@gmail.com', 'a432d817e884eb8bd3953177b68c747b64d8d6a705b79787445750bf80fe55b6', TO_DATE('1988-09-17', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('FVKDML', 'Brentley', 'Augustus', 'AQ8JR32L', '+36705788537', 'AugustusEgmI@gmail.com', 'ba1a05ec6ce10464e677fae4bf4b9d8e0fe0d5a2af767cddc04f6903f8fa2bc6', TO_DATE('1987-04-06', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('35ZUDS', 'Roy', 'Moises', 'FSU3ANHS', '+36205074611', 'Moises29KP@gmail.com', '997d5734f8bf54352bfb598d5fee84f8d86ddd497c68aab23594145286c6cb5b', TO_DATE('1964-07-04', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('IOIXOF', 'Jamie', 'Sylas', 'J4AVC2IS', '+36204860151', 'Sylas3xLf@gmail.com', '0cf8b53059e3df1cadb30a53a4f65f7571a1106eee407c99cac5bbd4bf6369b3', TO_DATE('1965-03-02', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('8SYY1W', 'Nikolas', 'Leonard', 'VAP0NNJD', '+36203263917', 'LeonardNIlF@gmail.com', '1f43ca92e76ab25c659f0b29432e2f13776e044165ace94d718a3cfb20fb1c20', TO_DATE('1981-09-24', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('MEPFTY', 'Roman', 'Yehuda', 'F7LFLSHQ', '+36707315306', 'Yehudab73n@gmail.com', '86692d68160e82fa2dd83a59a55d69ad819952e526667b686480418c1d477f07', TO_DATE('1963-07-19', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('X4LKQO', 'Madden', 'Rudy', 'JFUNBEKO', '+36305886335', 'RudyH9vj@gmail.com', 'f6fcbcd75bff72708c7ab3806fb57465db9063502a3ed27b0a3f2f2caca52f5f', TO_DATE('1998-03-10', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('3HOW5H', 'Kamari', 'Lian', 'EBNACJOW', '+36701358312', 'Lian5rhJ@gmail.com', '17f9b5db75a2d169bcf7a7af2a7b47212ae79fddfda3bce8abd3dfd09aa091a0', TO_DATE('1974-09-28', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('G6PG40', 'Jesus', 'Joaquin', 'Q1ZL5IV2', '+36209521667', 'Joaquina7AB@gmail.com', 'd3a21f544438b315e93fef7723a06350a6b0e1b2294ff0a825ee6860f2373c02', TO_DATE('1978-02-28', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('MV8777', 'Makai', 'Princeton', 'QQRUG46T', '+36209980055', 'PrincetonAlHp@gmail.com', 'a3026dd404f6891888d7e613aee80df27ee4e3cdea5ddb5a721b5b6430f4c01c', TO_DATE('1983-03-17', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('UZJFPV', 'Canaan', 'Owen', 'T48HD1WA', '+36700458916', 'OwenMRAd@gmail.com', 'baa31bcd2580deb3823403cdd39f418509af8ae9196817da3b493a7c3769c60f', TO_DATE('1970-05-15', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('Y9GHUG', 'Jamir', 'Easton', 'EYYP26H0', '+36708598997', 'EastonyRiX@gmail.com', '54a8f6d279f87595480229677513e59dbc8bc5a4bb8b0f20fd30f0f7ab4b7634', TO_DATE('1986-07-07', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('4UFQ6U', 'Jorge', 'Ronan', 'XD742NQC', '+36209596288', 'RonanHOWX@gmail.com', '39440c8a4bd10c494a33d2fc97dbfe320f1d0dc33d97035688de07be1378f4a8', TO_DATE('1972-02-27', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('W51PBA', 'Pedro', 'Andre', '3NDRDFRM', '+36305481677', 'AndrekRwu@gmail.com', '9d9726d2c6482a042ec277364e0ad9f5e45d7414d03ef98675fbed53c9bf0391', TO_DATE('1994-05-12', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('T1Y7Z0', 'Tristian', 'Kody', 'C5ABZG17', '+36203507209', 'KodyXyFr@gmail.com', 'bea38de1a24cda2334ec2fae7779d564e66a0943d06dc6526dd9de80f7a0c0a8', TO_DATE('1983-04-13', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('ZIX3XR', 'Abraham', 'Zachary', '97QDD78T', '+36701856908', 'ZacharyRo6x@gmail.com', 'cf65c040e3f06e7b3bc96f253a31ea2c07e37f1ec051940740e0fd153ea83745', TO_DATE('1961-07-14', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('ICSORU', 'Cason', 'Jasper', '95LPAK1X', '+36707916457', 'Jasper2xIr@gmail.com', '503bde4931ca4d8d95b9353a7d6c57c2fe9a980bc49c5100bc6ccc856298d175', TO_DATE('1968-12-01', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('HA58J8', 'Ermias', 'Kenzo', 'NOMC06LQ', '+36701096801', 'Kenzox6cq@gmail.com', '6ba520f13f94ad99e8f362716d7e571f0329a196dcd79ee76a31c8b9e4cfd512', TO_DATE('1960-11-10', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('ZIGB5L', 'Terrance', 'Kenny', '8ALHGOD6', '+36202804100', 'Kennyb9XN@gmail.com', '561128bba80925e568c819cca71843a06673a47db46e577327a31fd81bf00ff3', TO_DATE('1960-11-07', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('3DHWEA', 'Joshua', 'Michael', 'WWGK9QQ8', '+36307097147', 'MichaeleR96@gmail.com', 'f089eaef57aba315bc0e1455985c0c8e40c247f073ce1f4c5a1f8ffde8773176', TO_DATE('1992-03-05', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('1KZ65N', 'Lachlan', 'Dalton', 'MNQXK3CW', '+36706440307', 'DaltonZOEs@gmail.com', '7160cb6b05e199c1efcfb0238ba955b0ce24c8844b61955d2614d76eb2a7874f', TO_DATE('1971-09-04', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('4UWA4P', 'Kyler', 'Harlan', 'GPTHK3ZQ', '+36304433232', 'HarlanPqaw@gmail.com', '8eb6bf3ef2c6f6ce3184e6b0e64eb6021358b80936fb10373116fec64e8c9624', TO_DATE('1994-12-23', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('HRXZ6W', 'Randy', 'Finnley', 'U2S80GKA', '+36203503881', 'FinnleyxIJk@gmail.com', '82792fc4f851f4e1446824742cdd425c4682a6793448650110825b008dcfe322', TO_DATE('1988-10-19', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('D8RFGS', 'Lee', 'Knox', 'D5SA22R6', '+36203480748', 'KnoxDgNX@gmail.com', '7062d81be0a41272e9e8126ad529413d2a5a649691cff88496f39a0417a70fa7', TO_DATE('1988-04-06', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('0QUF0F', 'Deandre', 'Bodhi', '9PS41O2K', '+36203251302', 'Bodhi4VMe@gmail.com', '204a8dca79b86a26b72f49b8012c4d9390facfab91780a2043a33b2ff155363f', TO_DATE('1994-04-21', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('3J30RC', 'Ellis', 'Cassius', 'W63F6NRT', '+36201294199', 'CassiusUrsp@gmail.com', '6c12368af57089893c9820e2b0120a05a1b98c0c3961aa9460fd34ca22b13bc6', TO_DATE('1970-04-16', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('KUJCOK', 'Darren', 'Malcolm', 'AG039HC3', '+36708477890', 'MalcolmNUZW@gmail.com', '0a5e7f1bd69fc848935eb9ad9a8965efa61f13b7f2ac05f9ca98689fccb5f38f', TO_DATE('1965-11-24', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('7Z0MR1', 'Colton', 'Maison', '7BUTC24I', '+36309793814', 'MaisonMyNT@gmail.com', '686e3f21c38ac02143be1fa88c0a52c6d503f2ae0e9f4f3d198320cab8fe0d8d', TO_DATE('1986-10-21', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('LHI77O', 'Hugh', 'Kaiden', 'TBXCS9EJ', '+36304126357', 'KaidendY5D@gmail.com', 'f7c8e9b6bf8c62acae1fa6fd62c9b7d584a31082d6bafb6612b78c05b3036e99', TO_DATE('1969-03-26', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('VS5XMX', 'Max', 'Johnathan', '68YM84Z3', '+36308896729', 'Johnathan0qar@gmail.com', 'db2b5f7ac9c15aba48d57c074a8048197dd96b935f5449247abf51f26bde675b', TO_DATE('1963-07-08', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('5OAKMW', 'Shane', 'Colby', 'QKXB5NR1', '+36309272577', 'ColbyAd0w@gmail.com', '404cb1e9ca7b5c693cf845ba207d4c55f9596a1e98fc2d9563664736711a7818', TO_DATE('1979-12-12', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('IAJYRR', 'Lee', 'Abdullah', 'WLHG0BVY', '+36305611087', 'Abdullahy5q3@gmail.com', '5eb60936c374c1be93fab792fc9946de3cd025da80961e605844feab4e55bb9b', TO_DATE('1970-10-06', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('66YBSE', 'Aaron', 'Bryan', 'ULTUWXA2', '+36305242450', 'BryanD45M@gmail.com', '674c1f08fac053e604366eb24f2123568e367479301d4dd14e6109ca85abda1b', TO_DATE('1977-09-02', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('HJY33A', 'Alijah', 'Ellis', 'DYXARGHA', '+36700496749', 'Ellisr4cB@gmail.com', 'e4a141627f7cf75e7abb0817464134b285c7417993159a4fe093512240412b8b', TO_DATE('1966-08-14', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('PNB8XF', 'Blaise', 'Thiago', 'W4Q4VNFQ', '+36202806232', 'ThiagoSRiD@gmail.com', '400030bc46b7498638dbaaf8c5b6f793fa60651ec38eff8a579a5a15c0044a40', TO_DATE('1992-02-11', 'yyyy-mm-dd'));
